🥇,"A gold medal, given to the person or team who comes first in a competitive sporting event such as a race."
🥈,"A silver medal, given to the person or team who comes second in a competitive sporting event such as a race."
🥉,"A bronze medal, given to the person or team who comes third in a competitive sporting event such as a race."
🆎,"A symbol representing Blood Type AB. Displayed as the letters AB on a red background."
🏧,"A square symbol showing the letter "ATM", standing for "Automated Teller Machine"."
🅰️,"A symbol representing Blood Type A. Displayed as the letter A on a red background."
🇦🇫,"The flag for Afghanistan, which may show as the lettersAFon some platforms."
🇦🇱,"The flag for Albania, which may show as the lettersALon some platforms."
🇩🇿,"The flag for Algeria, which may show as the lettersDZon some platforms."
🇦🇸,"The flag for American Samoa, which may show as the lettersASon some platforms."
🇦🇩,"The flag for Andorra, which may show as the lettersADon some platforms."
🇦🇴,"The flag for Angola, which may show as the letters A and O on some platforms."
🇦🇮,"The flag for Anguilla, which may show as the lettersAIon some platforms."
🇦🇶,"The flag for Antarctica, which may show as the lettersAQon some platforms."
🇦🇬,"The flag for Antigua & Barbuda, which may show as the letters A and G on some platforms."
♒,"The Aquarius astrological sign in the Zodiac. This Zodiac Symbol represents a Water-bearer."
🇦🇷,"The flag for Argentina, which may show as the lettersARon some platforms."
♈,"The Aries astrological sign in the Zodiac. This Zodiac Symbol represents a Ram."
🇦🇲,"The flag for Armenia, which may show as the lettersAMon some platforms."
🇦🇼,"The flag for Aruba, which may show as the lettersAWon some platforms."
🇦🇺,"The flag forAustralia, which may show as the lettersAUon some platforms."
🇦🇹,"The flag forAustria, which may show as the lettersATon some platforms."
🇦🇿,"The flag for Azerbaijan, which may show as the lettersAZon some platforms."
🔙,"The word "back" with an arrow above it, pointing to the left."
🅱️,"A symbol representing Blood Type B. Displayed as the letter B on a red background."
🇧🇸,"The flag for Bahamas, which may show as the lettersBSon some platforms."
🇧🇭,"The flag for Bahrain, which may show as the lettersBHon some platforms."
🇧🇩,"The flag for Bangladesh, which may show as the lettersBDon some platforms."
🇧🇧,"The flag for Barbados, which may show as the lettersBBon some platforms."
🇧🇾,"The flag for Belarus, which may show as the lettersBYon some platforms."
