\mathexclam,factorial,definition of factorial,combinatorics,arithmetics,theorem
\mathoctothorpe,equation,number theory,coordinate axes,algebraic structure,graph theory
\mathdollar,money value,budget constraint,financial model,private company,market capitalization
\mathpercent,percentage,frequency percent,error rate,confidence interval	level of significance
\mathampersand,inner product,vector concatenation,matrix indexing,logical AND,polynomial term
\lparen,grouping,parentheses,left parenthesis,subexpression,function arguments
\rparen,right parenthesis,markdown syntax,output interface,inline math mode,programming language
\mathplus,addition,summation,positive charge population,positive signifiant change,additive identity
\mathcomma,comma,number systems,real part,Weil group,complex representation of a Lie algebra
\mathperiod,dot product, scalar multiplication, determinant, decimal point, probability of success
\mathslash,division, set subtraction, timing complexity, metric space, signal processing
\mathcolon,relation,detector,convolution,functional,scalar
\mathsemicolon,function;statistical independence;statistical dependence;rejection region,principal submatrix
\less,relation,less than,<$,ordered set,partial order
\equal,equality,constant value,solution of equation,result of comparison,interchangeable dimensions
\greater,inequality,slant height,subharmonic function,addend,correlation
\mathquestion,equation,curve fitting,unknown variable,optimization problem,complex analysis
\mathatsign,at sign,incomplete hypothesis,key,unique hypothesis,restricted maximum likelihood
\lbrack,norm,probability distribution,latex,group theory,vector space
\backslash,reverse,backslash,complement,inverse,negative
\rbrack,vector notation,column vector,density operator,correlation matrix,transpose
\lbrace,set builder notation, piecewise function, complex numbers, statistics, linear algebra
\vert,norm vector,determinant,boundary operator,absolute value,module theory
\rbrace,curly brace, sets, set notation, set theory, combinatorics
\mathsterling,currency symbol,value of import,exchange rate,price in pounds,money supply
\mathyen,currency symbol,Japanese Yen symbol,foreign exchange rate,financial unit,funding estimation
\mathsection,section symbol,reference section,fraction section,statistical section,section sign
\neg,negation,Boolean algebra,logic,negative number,propositional logic
\pm,plus-minus sign, error margin, uncertainty, discrete distribution, signed distance
\mathparagraph,topic introduction,theorem statement,proof outline,experiment description,concept definition
\cdotp,dot product,inner product,dot product of vectors,symbol for dot product,vector dot product
\times,cross product,dot product,tensor product,cartesian product,sample mean
\matheth,scalar,physical quantity,experimentally observed value,unitary transformation
\div,quotient,division operator,divide,separate,divisor
\Zbar,impedance,average double bar,zirconium-93,apatite-pyroxene-bearing schist,average power
\Alpha,angular acceleration,statistical significance level,activity coefficient,estimator,terpenes
\Beta,coefficient,decay rate,binomial distribution parameter,Ampère's force law parameter
\Gamma,gamma function,Euler's gamma constant,gamma distribution,Dirichlet eta function,lower incomplete gamma function
\Delta,change in,triangle,incremental,wave amplitude,uncertainty
\Epsilon,limit,small quantity,error,permittivity,sensitivity
\Zeta,Riemann Zeta function, Hurwitz Zeta function, Mangoldt function, Zeta potential, Zeta theorem
\Eta,Burn rate, efficiency, shear rate, impedance, permittivity
\Theta,big theta notation,theta function,theta series,Theta-algorithm,theta quantile
\Iota,imaginary unit, discrete interval, ionic strength, isotopic abundance, logarithmic potential
\Kappa,curvature,compressibility factor,boltzmann constant,spring constant,coupling constant
\Lambda,eigenvalue,eigenfunction,Lebesgue measure,adjacency matrix,curvature
